clean,corrupted,group,plural
The poems that the ministers love,The poem that the ministers love,ML-obj_rel_across_inanim_all,1
The senators that the executives love,The senator that the executives love,ML-obj_rel_across_anim_all,1
The teacher next to the skater,The teachers next to the skater,ML-prep_anim_all,0
The game the architects admire,The games the architects admire,ML-obj_rel_no_comp_across_inanim_all,0
The novel that the taxi drivers love,The novels that the taxi drivers love,ML-obj_rel_across_inanim_all,0
The teachers the executives admire,The teacher the executives admire,ML-obj_rel_no_comp_across_anim_all,1
The surgeons next to the skater,The surgeon next to the skater,ML-prep_anim_all,1
The authors that the chefs like,The author that the chefs like,ML-obj_rel_across_anim_all,1
The pilots the ministers admire,The pilot the ministers admire,ML-obj_rel_no_comp_across_anim_all,1
The authors to the side of the dancer,The author to the side of the dancer,ML-prep_anim_all,1
The show the minister,The show the ministers,ML-obj_rel_no_comp_within_inanim_all,0
The teacher the guards love,The teachers the guards love,ML-obj_rel_no_comp_across_anim_all,0
The customers to the side of the guard,The customer to the side of the guard,ML-prep_anim_all,1
The songs that the dancer likes,The song that the dancer likes,ML-obj_rel_across_inanim_all,1
The poem the skaters hate,The poems the skaters hate,ML-obj_rel_no_comp_across_inanim_all,0
The book the architect hates,The books the architect hates,ML-obj_rel_no_comp_across_inanim_all,0
The surgeon that likes the dancers,The surgeons that like the dancers,ML-subj_rel_all,0
The manager the taxi driver,The manager the taxi drivers,ML-obj_rel_no_comp_within_anim_all,0
The consultant the chef likes,The consultants the chef likes,ML-obj_rel_no_comp_across_anim_all,0
The paintings that the parent admires,The painting that the parent admires,ML-obj_rel_across_inanim_all,1
The poems by the executives,The poem by the executives,ML-prep_inanim_all,1
The paintings that the executives love,The painting that the executives love,ML-obj_rel_across_inanim_all,1
The movie that the ministers,The movie that the minister,ML-obj_rel_within_inanim_all,1
The games the assistant admires,The game the assistant admires,ML-obj_rel_no_comp_across_inanim_all,1
The games that the chefs hate,The game that the chefs hate,ML-obj_rel_across_inanim_all,1
The picture the architects hate,The pictures the architects hate,ML-obj_rel_no_comp_across_inanim_all,0
The officer that the architect loves,The officers that the architect loves,ML-obj_rel_across_anim_all,0
The officers near the guard,The officer near the guard,ML-prep_anim_all,1
The painting the skaters admire,The paintings the skaters admire,ML-obj_rel_no_comp_across_inanim_all,0
The book the skaters hate,The books the skaters hate,ML-obj_rel_no_comp_across_inanim_all,0
The show that the parent admires,The shows that the parent admires,ML-obj_rel_across_inanim_all,0
The surgeons write in a journal every day and,The surgeon writes in a journal every day and,ML-long_vp_coord_all,1
The officers that the dancer loves,The officer that the dancer loves,ML-obj_rel_across_anim_all,1
The customer that hates the ministers,The customers that hate the ministers,ML-subj_rel_all,0
The shows the chef admires,The show the chef admires,ML-obj_rel_no_comp_across_inanim_all,1
The teachers that the dancer,The teachers that the dancers,ML-obj_rel_within_anim_all,0
The shows the skaters admire,The show the skaters admire,ML-obj_rel_no_comp_across_inanim_all,1
The poem from the chefs,The poems from the chefs,ML-prep_inanim_all,0
The poems that the dancer hates,The poem that the dancer hates,ML-obj_rel_across_inanim_all,1
The show the parents hate,The shows the parents hate,ML-obj_rel_no_comp_across_inanim_all,0
The song the skaters admire,The songs the skaters admire,ML-obj_rel_no_comp_across_inanim_all,0
The novel that the assistant loves,The novels that the assistant loves,ML-obj_rel_across_inanim_all,0
The consultant that hates the skater,The consultants that hate the skater,ML-subj_rel_all,0
The teacher the parents hate,The teachers the parents hate,ML-obj_rel_no_comp_across_anim_all,0
The senator in front of the executives,The senators in front of the executives,ML-prep_anim_all,0
The manager the taxi drivers admire,The managers the taxi drivers admire,ML-obj_rel_no_comp_across_anim_all,0
The surgeons the skater,The surgeons the skaters,ML-obj_rel_no_comp_within_anim_all,0
The songs that the taxi drivers hate,The song that the taxi drivers hate,ML-obj_rel_across_inanim_all,1
The pilots that the architects,The pilots that the architect,ML-obj_rel_within_anim_all,1
The managers to the side of the parents,The manager to the side of the parents,ML-prep_anim_all,1
The consultants that the architects like,The consultant that the architects like,ML-obj_rel_across_anim_all,1
The farmers in front of the dancers,The farmer in front of the dancers,ML-prep_anim_all,1
The painting that the executives hate,The paintings that the executives hate,ML-obj_rel_across_inanim_all,0
The officers the parents like,The officer the parents like,ML-obj_rel_no_comp_across_anim_all,1
The show the assistants like,The shows the assistants like,ML-obj_rel_no_comp_across_inanim_all,0
The show that the taxi drivers like,The shows that the taxi drivers like,ML-obj_rel_across_inanim_all,0
The novels that the minister hates,The novel that the minister hates,ML-obj_rel_across_inanim_all,1
The books that the dancers hate,The book that the dancers hate,ML-obj_rel_across_inanim_all,1
The poems the taxi driver hates,The poem the taxi driver hates,ML-obj_rel_no_comp_across_inanim_all,1
The surgeon that hates the skaters,The surgeons that hate the skaters,ML-subj_rel_all,0
The poem that the taxi drivers love,The poems that the taxi drivers love,ML-obj_rel_across_inanim_all,0
The managers that the architects like,The manager that the architects like,ML-obj_rel_across_anim_all,1
The consultant that hates the architects,The consultants that hate the architects,ML-subj_rel_all,0
The customer the assistant loves,The customers the assistant loves,ML-obj_rel_no_comp_across_anim_all,0
The customer in front of the guard,The customers in front of the guard,ML-prep_anim_all,0
The farmer that the dancer admires,The farmers that the dancer admires,ML-obj_rel_across_anim_all,0
The senators that the assistant admires,The senator that the assistant admires,ML-obj_rel_across_anim_all,1
The mechanics knew the consultant,The mechanics knew the consultants,ML-sent_comp_all,0
The novels the architect likes,The novel the architect likes,ML-obj_rel_no_comp_across_inanim_all,1
The painting the architect admires,The paintings the architect admires,ML-obj_rel_no_comp_across_inanim_all,0
The surgeon that the dancers love,The surgeons that the dancers love,ML-obj_rel_across_anim_all,0
The farmer next to the dancer,The farmers next to the dancer,ML-prep_anim_all,0
The books the ministers like,The book the ministers like,ML-obj_rel_no_comp_across_inanim_all,1
The poem that the skater,The poem that the skaters,ML-obj_rel_within_inanim_all,0
The senator that the executive loves,The senators that the executive loves,ML-obj_rel_across_anim_all,0
The senator behind the chefs,The senators behind the chefs,ML-prep_anim_all,0
The pilots across from the parents,The pilot across from the parents,ML-prep_anim_all,1
The senators the skaters like,The senator the skaters like,ML-obj_rel_no_comp_across_anim_all,1
The shows that the taxi drivers admire,The show that the taxi drivers admire,ML-obj_rel_across_inanim_all,1
The show that the chef admires,The shows that the chef admires,ML-obj_rel_across_inanim_all,0
The manager that the executive hates,The managers that the executive hates,ML-obj_rel_across_anim_all,0
The pilots near the chefs,The pilot near the chefs,ML-prep_anim_all,1
The officers that the architect loves,The officer that the architect loves,ML-obj_rel_across_anim_all,1
The pilot behind the dancers,The pilots behind the dancers,ML-prep_anim_all,0
The teacher that the architect admires,The teachers that the architect admires,ML-obj_rel_across_anim_all,0
The farmer that likes the dancer,The farmers that like the dancer,ML-subj_rel_all,0
The managers next to the dancers,The manager next to the dancers,ML-prep_anim_all,1
The customer across from the guard,The customers across from the guard,ML-prep_anim_all,0
The paintings the architects admire,The painting the architects admire,ML-obj_rel_no_comp_across_inanim_all,1
The officers the parent hates,The officer the parent hates,ML-obj_rel_no_comp_across_anim_all,1
The authors that like the architects,The author that likes the architects,ML-subj_rel_all,1
The pilot next to the executives,The pilots next to the executives,ML-prep_anim_all,0
The books the executive admires,The book the executive admires,ML-obj_rel_no_comp_across_inanim_all,1
The consultants the architects,The consultants the architect,ML-obj_rel_no_comp_within_anim_all,1
The customer that likes the architect,The customers that like the architect,ML-subj_rel_all,0
The consultant in front of the taxi driver,The consultants in front of the taxi driver,ML-prep_anim_all,0
The author that loves the chef,The authors that love the chef,ML-subj_rel_all,0
The manager that the executives hate,The managers that the executives hate,ML-obj_rel_across_anim_all,0
The consultant in front of the skaters,The consultants in front of the skaters,ML-prep_anim_all,0
The senator that the guard loves,The senators that the guard loves,ML-obj_rel_across_anim_all,0
The managers across from the ministers,The manager across from the ministers,ML-prep_anim_all,1
The officers to the side of the chef,The officer to the side of the chef,ML-prep_anim_all,1
The farmer that loves the executive,The farmers that love the executive,ML-subj_rel_all,0
The pictures that the dancer hates,The picture that the dancer hates,ML-obj_rel_across_inanim_all,1
The customers the taxi drivers admire,The customer the taxi drivers admire,ML-obj_rel_no_comp_across_anim_all,1
The teacher the parent likes,The teachers the parent likes,ML-obj_rel_no_comp_across_anim_all,0
The farmer that likes the assistant,The farmers that like the assistant,ML-subj_rel_all,0
The authors across from the ministers,The author across from the ministers,ML-prep_anim_all,1
The officer the taxi driver,The officer the taxi drivers,ML-obj_rel_no_comp_within_anim_all,0
The customers the ministers like,The customer the ministers like,ML-obj_rel_no_comp_across_anim_all,1
The officers the architect loves,The officer the architect loves,ML-obj_rel_no_comp_across_anim_all,1
The authors the parents,The authors the parent,ML-obj_rel_no_comp_within_anim_all,1
The officers that hate the dancers,The officer that hates the dancers,ML-subj_rel_all,1
The bankers thought the senators,The bankers thought the senator,ML-sent_comp_all,1
The senators that the ministers,The senators that the minister,ML-obj_rel_within_anim_all,1
The novels that the skaters hate,The novel that the skaters hate,ML-obj_rel_across_inanim_all,1
